,Kotor,Comments,Author
579,0,ericko tetap di hati,Awan Seto
580,0,"walau bang erick banyak ngomong saru

di balik semua itu dia selalu memberi motivasi bagi kitael apaan tapi kesini agak krg toxic tapi msih aja",Game Over
581,0,lmao good boi,RyanandaBEST
582,1,awalnya gua benci tapi sekarang gua banyak belajar dari anying kalau lu baik gak bakalan terkenal lu anjing wkwk,Darnoprst
583,1,anjing lu ganteng kayak rando,NL21 2009
584,1,chanel lucknutt,Kevin Pratama
585,0,kalem bang gw ada untuk mu v gw mendukung mu v no toxic no life v,Arya Yudha Septian
586,0,gw viwerlu bang i love you,Yhukenshi kun X Mirai chan
587,0,tenang bang ericko masih banyak yang support lu,Acelolik Zidan
588,1,emang mukak kontol lu rik,Rah Too
589,0,bodo aja hater lu,STAR BOY
590,0,haters duit jadinya haters ngasilin duit lebih banyak semakin banyak haters sekamin banyak duit haters kok subs haters kok like ampe rb dan subs,Manda Alan
591,1,gw tekan tombol subscribe kali bang,Nazmi Nasarudin
592,0,konten lu emang nggak berfaedah rik tapi gua tau itu tujuan lu buat ngehibur orang dan itu besar pahalanya kata dhyo haw like ampe rb dan subs,Chicken Crazy
593,0,saran buat lu bang setidak nya kata kotor nya di sensor lah ngak enak di denger setuju,Reeha 321
594,0,ane netral boleh ga,Flow Shiro
595,0,haters maha benar bang erik selow in aja ya gw tetep dukung elu,Afiq Akmal
596,0,tambah cancerrr malahan,Aziz Fikri S
597,1,channel goblogggg ga ada tatakrama,Reza Arapp Naufal
598,0,tembus juta akhir tahun lu mau ngapaiin nyukk,Dhent Gaming
599,0,yo bangsat cakep gw suka lu semangat bang  tetep dukung elu,AYEZ MUSIC
600,0,haters mah seenak jidat,PLAYER VIN GLORY INDONESUA
601,0,erick kata kata mutiara save,mail mbc
602,0,si haters itu gk ada otaknya smua  ngatain lewat dm gk sopan trus kan sdh canggih ni zamar pahalanya kata dhyo haw like ampe rb dan subs,Jason Darwi
603,0,hatersnya jgn nonton klo benci erickolim ericko terbaik,Jason Darwi
604,0,para haters membaraaaaaaaaaa olim ericko terbaik,Dafa Yunus
605,0,sabar bang wkwkwk,Fernando AJA
606,1,gua seneng bully lo lo sabar wkwk,iMposible160KiLL Battle Dreams
607,1,erick kontol banyak gaya ngejek ngejek youtubers kontol ama kau,Daniel Anggara
608,0,gua suka nonton vidio lu karena lu suka toxic kwkwkwkwk terus lah toxic bang,ImFabio MCWorld
609,0,siapa setuju erico tuh ganteng u suka toxic kwkwkwkwk terus lah toxic bang,alfa __
610,0,bang lu ganteng tuh ganteng u suka toxic kwkwkwkwk terus lah toxic bang,alfa __
611,0,bang lu ganteng tuh ganteng u suka toxic kwkwkwkwk terus lah toxic bang,alfa __
612,0,subcribe makan bulu ketek mamah lo,yuusan official
613,0,selow bang gua selalu dukung lu,Dwi Wulandari
614,1,ug komen di sini emg gak ada yg bagus babi cahnel u tutup ajh anjing muka macam kontol ajh blagu,PENOK PENOK
615,1,kontol,PENOK PENOK
616,0,ric gua request lu minum air pembalut donk plissss,Ihsan Lordardmore
617,0,siapapun yg jd haters lu gua sikat ya kntl issss,Rachmat Akil
618,0,"hahaha menghibur bgt ya kntl 
respect tl issss",Rachmat Akil
619,0,hai ericko gua sebenarnya fans banget sama lagu lo itu bagus,GIBRAN GAMING
620,0,hah taunya minta subscribe aja luh,No Chu
621,1,"kontol lu ric muka gak ganteng masih produk lokal konten gak menghibur taii hahahahaha
tapiiii bohooong lu keren ric disaat orang bnyk buly lu tapi lo bisa buktikan salut sama lu 
hahahahahaha",Adfree Tv1
622,1,anak hasil ngelonte ini orang,Galang Andrean
623,1,ngakak njirrr,Fahmi Bagastian
624,1,ericko lim banyak haters tpi kok si haters masih nonton anjeeeng kan gobloggg gituuu v,Reza Andescha
625,1,bacot erick kontol nggilani makan kondom,Afan A.Z
626,1,"hater cuma bisa ngomong doang emang lu bisa suskreb itu juga usaha bujank lu cuma bisa ejek usaha kagak haters kntl 
edit daripada lu bacot mending lu main emel sampe stress akmj",baryonyx TR
627,1,"ter cuma bisa ngomong doang emang lu bisa suskreb itu juga usaha bujank lu cuma bisa ejek usaha kagak haters kntl 
edit daripada lu bacot mending lu main emel sampe stress akmj",yayan sofyan
628,0,buat heathers kalo gak suka gak usah di tonton laporin aja vidio nya ada kok tempat report gak usah komentar kasar juga lu buang buang energi ing lu main emel sampe stress akmj,andri cahaya
629,1,kocak njingalo gak suka gak usah di tonton laporin aja vidio nya ada kok tempat report gak usah komentar kasar juga lu buang buang energi ing lu main emel sampe stress akmj,Dizan Muhamad
630,1,bang coba coli,Nanang Saroni
631,1,smangat kontol,fikri albari
632,0,gue suka gaya lo absurb parah being normal is so bored,lil fakka
633,0,hehe ngeri bgt komenya,Zari Wahyu Pratama
634,1,bau memec ewkwkw ajg,Juvens SH
635,0,"bener semua manusia punya akal sehat tp kalo yg nonton anak itu bisa bahaya soalnya mereka masi belum paham betul mana yg baik ama mana yg bener apalagi sekarang era globalisasi anak sd aja uda pd punya hp kalo ga diawasi mereka bisa aja liat video lu terus mereka minta jembud asem manis ke mamahnya 

ya kalo ade gue sih gue jauhin dr video yg ga baik tapi bagaimana dengan anak lainnya lu mau salahin orang tuanya ya salah lu juga ga seting konten lu buat thn keatad",Belbo Hakami
636,0,humor lu trlalu rendah boi,Helle R
637,0,bener wkwkwk,Afzal Maulana
638,1,"blaker gaming knp lo yang ngegas  ff pubg donkk kentang itu bisa bahaya soalnya mereka masi belum paham betul mana yg baik ama mana yg bener apalagi sekarang era globalisasi anak sd aja uda pd punya hp kalo ga diawasi mereka bisa aja liat video lu terus mereka minta jembud asem manis ke mamahnya 

ya kalo ade gue sih gue jauhin dr video yg ga baik tapi bagaimana dengan anak lainnya lu mau salahin orang tuanya ya salah lu juga ga seting konten lu buat thn keatad",Zakky 1222
639,0,play gema lu napa,Trancelo Dirgantara
640,1,bangsat lu gue sumpahin ngak masuk surga anjing,BLAKER GAMING
641,0,betul,Zikir Lailan
642,1,akun fake asu,Suwita Esports Gaming
643,1,woi kontol bapak lu ngelonte ama jablay anjjng kalo gak suka gak ush nonton kontol anak lonte kimak bangsat,Martin Wijaya
644,1,haters kontol yg haters anak haram,DIS GATORS
645,1,galang anak babi cina,Naufal Razan Santosa23
646,1,ibu lu kimak kontol,Rafif Rafsanjani
647,1,gblk,Aldy NDP
648,1,gua subscriber ke yeah nak haram,yuke widyaningrum
649,1,hidup erickkk erick papa gua anjink komtolllll,Yoga Artha
650,0,bang bikin prank apa apaan tuh teriak wikk wikk ah ah ah di tmoat umum wkwk,Gaming amatiran
651,0,ada baiknya di setiap video lu bang hilangin kata kata yang kurang ajar karena heters melihat elu d setiap video selalu tersisip kata kata yg tdak layak d dengar orang banyak,Hoska Aria
652,0,ngakak,Krisna Apk
653,0,"dikit dikit suruh hapus

suruh aja tuh hapus youtubenya langsung dari pusatnya 

kalok semua suruh hapus orang primitif kayak itu gak akan liat youtube lagi teak",Vaturi Isabani
654,0,hahahaha lucu bang,Irman sukses
655,1,kalo ada yg blg lu tolol rik balikin yang tolol haters mau bikin melarat tapi masih aja di ikutin content masih aja di komen tiap video mangats rik lel i teak,Robertus Bellarmino Jalu
657,0,bang bikin frank aja lu kayaknya seru dah,ADIT BOSS
658,0,"hate adsense 
hater daily adsense",chandra danuarta
659,0,"rik sabar rik namanya juga toxic sukses terus dan jangan lupa selesain youtube rewind nya biar kita semua yang ngk toxic bisa liat hasil kerja keras 




 
 
 
ng banyak",FroTza GaMinG
660,1,"kntl lu bang 
wkwkwk",Najib Halim
661,1,nonton kondom di kasih nnyawa ya gini wkwkwk,chiks ss
662,0,simple woi ga suka gausah di tonton,Ardiansyah 78
663,0,gw semenjak nonton erickontoru jujur hidup gw berubah parah gw jd toxic gak karuan ke temen sekolah gw kadang gw iseng teriak dijalanan tp temen gw tetep fun fun aja sm gua memang omonganku hitam tapi percayalah perbuatan ku suci,Anime Full episode
664,0,etd judulnya ngeselin bgt ya heaters emg jht coeg kok kesel ya Vtoxic gak karuan ke temen sekolah gw kadang gw iseng teriak dijalanan tp temen gw tetep fun fun aja sm gua memang omonganku hitam tapi percayalah perbuatan ku suci,F 
665,0,hahahahahahhahahahaha,Azri Azrikri
666,0,"ganteng ganteng bego
 ggb segera tayang di indosiar 
setiap hari jam",Warp Location
667,1,erickontol asue asik buatin video gak guna anjirt,BOSSyagura Ml
668,1,hmmmmmhhh bau memeq,
669,0,biar bang dihina santui ada gua,Aldrin Pasha
670,0,"kalo mikir 
gw bully si eric emang gw bisa bikin vidio ya 
gak mikir 
kontol lu
goblok
unsub aja lah
tolol anjeng

no hate ya",Doctor Pleague
671,0,intinya gak setan gak enak gak ada ericolim gak enak,Eddo Augest
672,0,gw suka lo karna toxic bang,HHZ Rizki
673,0,yang penting w tau mana yg cuma buat hiburan mana yg bisa gua realisasikan ke temen gua,Hijrah Yuk
674,0,ini keren sih,PriorityDab
675,0,woi liat subscribe pewdiepie,breaking gaming
676,0,atau jangan dia utusan teroris isis untuk men takedown chanel keagamaan paling family friendly di dunia is this konspirasi iluminati,Sasori Akatsuki
677,0,au jangan dia utusan teroris isis untuk men takedown chanel keagamaan paling family friendly di dunia is this konspirasi iluminati,silvia azizah
678,0,gua bakal jdi soapers sejati,Hairi Life
679,0,mungkin youtuber harus kaya jess no limit semua karakternya ya stiap youtuber punya ciri khas,Alvin Rachman
680,0,numpang lewat semua wkwokwokwok numpang tawa wkwokwokwok haters heak wkowkowk lucu gua liat coment kalian para haters kwokowkwkkw,Mikhael W GAM
681,0,sebener nya kalo lu masih frendly sama reza arap masih cocok buat collab sih apa lagi kalo rewind cocok lah cepet baekan aja lah gw harap,Riizaldi Riizaldi
682,0,wkwkwkwk ngakak anjinkk,Rizal Putra
683,1,pentiil lo besar juga ya bg,BOEH Itam
684,0,keren lu bang good buat lu,Riio 18
685,0,bapak kau jualan grobak di timbang,Iqbal Imammul Mutaqqin
686,0,semua lo hina,Iqbal Imammul Mutaqqin
687,1,ngakak qw njir,Tz- Titanz
688,0,channel ini ngehibur mantap bang saat gue lagi sedih gara gara ema gue marahin gue gue nonton channel lu jadi gue cengar cengir sendiri thx bang,Rogue One
689,0,persen yg komen tu bocah sialan,MAGIC_ CHAnN
690,0,hatters cuma bisa bct aja,Evan Gaming
691,0,bang jadi islam,Trainz Simulator Indo
692,1,heters ajg,Banner BLACK
693,1,kontholll,Arya Arfan
694,0,mantul mantap betul,Seva G.S
695,1,fuucking beaches erick fuck you beches bodoh indog mua kayak kontol gak pemalu indogggggg,Fuad Shah
696,1,"haters bgsd emang lu bisa buat video paling family friendly 
bisanya ngomong kontol
semuany di bilang kontol
kontol lu aja bilang kontol sana bgsd g usah nonton dah kalo g suka tolol begok goblok mikir kek anjink",Alfari HGX
697,0,hahhahaa ini baru gua suka ni anak hahhaa,Iswandi Widi
698,1,anjir ngakak,Leo Gaming
699,0,"gw liat nya lucu mereka hate lu tapi nonton komentar di video lu
haha stay strong rick",fawaza .p.n
700,0,bagus rick tetaplah dijalan setan,AkemiKun
701,0,cek channel gw,Christ nuada
702,0,baju lu itu kontol alumnin dwp kau rupanya,Gilang Ramadhan
703,0,aduuh gua telat ngesubscribe nihh masi bisa subscribe lagi ga ni,Gilang Ramadhan
704,1,woi kontol wkwk baca haters lagi donk ngakak anjire lagi ga ni,Aditya Mauluda
705,1,yahaha konten lu setiap gw liat bikin ngakak anjeng hahaha lanjutkan brader,Zippy Game
706,0,alay,Nggoiril Anam
707,1,"gara gara elu reza delete channel babi

suka ngomong bangsat anjing 
babi eluu erick",kONEK kontol
708,1,subcribe gw warnanya biru bang gimana donk v,EEVXD
709,0,best openning,Ingat Mikasa
710,0,"aku cinta ericko lim 



kalau dia makan jembut lagi hiya hiya hiya",Pencari Hablum
711,0,bahaya anak di bawah umur nonton ericko lim auto jadi toxic ga ada faedahnya v mana berani yg nonton video erickontoru pake speaker dekat ortu pasti udah disita tuh v,Seijiwan Art
712,0,wow,Reza eka
713,0,gua suka minum yaqul wkwkwkw,Alfah Riza
714,0,channal gk berfaedah tapi kenapa banyak yg subcribe karna menghibur,Fzmaq Gaming
715,0,ngakak,Bayu Aceng
716,1,anjayyy seksi banget pentilnya anjayyyyyyyy,shiroe san
717,0,nyimak,Fando Official
718,1,jadi youtuber gaharus ngehina yang lain lah pepek,Aik
719,0,gua dulu suka sama lo semenjak lu ngehina youtuber laen sama orang lain gua berpikir x unsubs gw ke lu,Aik
720,0,lanjutin terus lim semangat lu ngehina youtuber laen sama orang lain gua berpikir x unsubs gw ke lu,GONDES _
721,0,mampir buat dislike angat lu ngehina youtuber laen sama orang lain gua berpikir x unsubs gw ke lu,YOLO DOTA2
722,1,asiknya itu bilang kotor anjing kontol wkwkk,Weby Gianlenno Sebastian
723,1,ntabs bang lang kotor anjing kontol wkwkk,Royco Rasa Sapi
724,0,di sini juga ada sih titisan ericko lim,Muhamad padli
725,1,hala haters kontol mending sub channel gua wkwkskw haters kontol memek jembod kontol babi,Gazz fx
726,0,"bang gw saranin bang isiin tulisan pas opening lu mulai 
 adegan ini tak pantas di lakukan di rumah",Gacha Repz
727,0,memang si heaters itu menguntungkan sama kaya temen temen gue yg suka ngomongin lo akhirnya gue penasaran gue liat chanel lu ehh bnr aje unfaedah,Amanda Rahma
728,0,"aku mau komentar nge hate 
udah ya besok masukin pidio yee kan w dah memenuhi syarat",ariq hafizh
729,1,oprasi ga dari memek anjgt,rian argencity
730,1,hahahaha bang ericko emang youtuber toxic berpaedah jngan lupa subcribe bang ericko ya heters karena dia adalah guru pendidik coli yg paling family friendly sedunia lo g suka tolol begok goblok mikir kek anjink,arpani sriwijaya
731,0,soapers,Weda Suryawan
732,0,ada link ga,Ardhany Racing
733,0,"haters kok jahat
udah lah jgn bully ericko lim
udah tau mukanya kaya kontol kelakuan kaya anjink memek bangsad
tapi gua tetep suport lo tod ngentod",F A J A R EXLSV
734,0,"salam gue dari soapers lu dari riau
erickontolim no limit ploss 
wkwkw",diki wahyudi
735,0,ngapain gua subcribe,Patolino BR
736,0,gw bangga sama lo bang,X GON Gaming
737,1,cahannel ini buat hiburan bukan untuk mendidik kalian jadi jangan diikutin lah sifatnya ambil positifnya aja tapi gua tetep suport lo tod ngentod,YAMIZU_Montage Gaming
738,0,bang jngan toxic bukankah lo dh janji buat gk toxic lagi,YAMIZU_Montage Gaming
739,1,kok ngilu anjinkkankah lo dh janji buat gk toxic lagi,Alfian Gaming
740,0,hebat lu bang bisa sabar sama coment haters lu,Rajib Komarudin
741,0,"dear ericko 
oke gw nulis ini bukan berarti gw hate atau gw apalah itu toh gakan ngehasilin buat gw 
gw cuma mw kasih saran aja buat lu kenapa harus bikin konten yg viewers anggap itu negatif kalo lu bisa bikin konten yg bisa buat viewers lu mikir positif buktikan kalo lu itu content creator toh m subs itu bukan chanel abal abal kan",seven foldis
742,1,darawet anjing dawett,ady hd
743,0,bang mabar ml ama kimi hime,Nanda Handoko
744,0,jt subs tangangannya botak dong rick,Febrian Rohmat T
745,0,hanya menyimak saja v,Rdhoo
746,0,mantap lah,aditya BINTANG
747,0,yang suruh hapus itu maksudnya orang primitif nya,Vaturi Isabani
748,0,lah elu ngomong aja itu perbuatan darimana hiam itu suci please deh belajar lgi,rty ot eth tseb
749,1,hirup bau hpppppppp bau memek,Sasori Akatsuki
750,0,btw bang gw sub lo dari pas desember,Sasori Akatsuki
751,0,muka seganteng gw sekeren gw dan se sexy gw masa gw di bilang ga ganteng lo gilaaa ya,Sasori Akatsuki
752,1,kalo hamilin gitu pasti ngilu tu memek nya iya itu dah pasti kek mak lu,Sasori Akatsuki
753,1,maling sial kontol kentot,Kanneki Ken
754,1,bacot lo,GAMER PRO_19
755,1,heaters tololllll,sodara ocong
756,1,terus lu kenapa nonton kontol,Adi Kecod
757,1,fzmaq gaming babi lw,Naufal Razan Santosa23
758,1,pengen jadi gemers tapi masih bocah pastinya dia tuh noob,Naufal Rafi
759,1,bacot njing,Yuli fitri fitri Dutasenasena
760,1,bocah mah diem aja,Alexander Lee
761,1,pantat tipis,iqbal
762,1,bacottt taikkkk nda ush nonton taik si simple itu,Leo Anton
763,0,"sorry ngegas v
 eee rick
berarti lu bikin video 
cuma buat nguji aja 
kalau ditiru atau endak 
eee 
terus kata lu mana yg harus dicontoh dan tidak yg dicontoh 
eee gw nyontoh lu dari mana 
ok ok ada video yg harus w contoh 
tapi kan y jgn sedikit itu lah njingg

dan lu makan jbt video lalu
omg rick mulai sekarang pikir masa depan rick mikir anak lu cucu lu anak dari cucu lu 
sampe tau kalau kakek dari kakek kakek ku itu makan jbt 

ketawa gw liat coment kalau 
 yah apakah ayah pernah makan jbt sendiri 
 ya nak tapi ayah sudah bertobat 
 bagus yah dan sekarang tinggal 
mereka yg bertobat karena sudah panggil aku anak pemakan jbt 

maaf rick gw gak suka baik sama lu video lu lucu dari ngomong anjn bgs gw tonton semua tapi ampe klewatan kenapa gak sekalian sub jt gak pake bajh dijalan tol 

benerin muka lu rick mangsut gw hidup lu 

maaf rick w gak sabar aja",KENAN DEBE
764,0,"kurt cobain
chris cornell
chester bennington
ericko lim",Achmad Nasrull
765,0,slow rick gw soaper sejati walaupun luh menghibur toxic,Biji Meledak
766,0,kak erick klo tatoan kayak gitu and rambut di pirang boleh beribadah nggk tanya,NYIMU OI OI
767,0,kalau ga jahat namanya bukan haters goblok,Rizal Styles
768,0,ericko limat namanya bukan haters goblok,Nia Jswrni
769,0,gw suka gayalu cuk mntaplah,RN SONG
770,1,give donk bngst oii rik,Ahmad Sukri
771,1,lo bilang temen lu buktinya aja dia udah anggap lo kaya sampah anjinggg ngentot mending lo gak usah banyak bacot,Rizi Ggg
772,1,anjing,Andre Geming
773,0,gg chenel,Andre Geming
774,0,bodo amat yg penting gokilwkwkwkw,OTOMOTIF 3
775,0,"unsubscribe
 
 
 
 
 
 
 
 
im just kidding lu dah perfect bang beutipul",Viki Azansptr
776,0,"i have middle finger for you bro 
haha bad channel but nice too",Nada Santai
777,0,"ngakak bang 
emang pada goblok tuh kontol yang komen",Rifa Jegeg
778,0,gue gapeduli heters tapi kok bikin lagu,Alexanderaryo Bimo
779,1,kontol lu ganteng kok bang,ARFAN OFFICIAL
780,0,please part,Greedy Boy
781,0,rik gw soapers lu ya untung lu agak kurang toxic skrng ya haha,Aldy
782,1,baca ini kntl,Alfikri ramadhan
783,0,chanel sangat mendydyc,Psycopath KW
784,1,ngapain dengerin haters mereka ngaku haters lu tp mereka nontonin video lu kak dasar haters bego semangat kakk,Angelina Ong
785,0,bang nikah aja sama kimi himi v,Raka Raka
786,0,bang jangan peduli kepada haters tolol,Yiswaren good song
787,0,kalian menghina erickolim yang jelek apakah kalian bisa menunjukan yang lebih baik dari pada erickolim dia hanya mau menghibur bukan maksud berniat jahat makanya kalau mau komen liat dlu pendirian kalian sendiri,70Years GT
788,1,santai ric mereka yg ngejudge mah hidup disuguhin sama disuapin terus maklumin sadja ya kontol,
789,0,lo lim anjing kontol dasar kaya lo itu tai amat anjing gua suka kelakuan lo anjing gua mau jadi youtuber anjing,Rafli muhammad
790,0,"gua mau jadi hate lu aja lah 
biar komen gue dibaca",Riko Cibro
791,0,haters sumber uang,Riko Putra
792,0,family friendly v,Panda UwU
793,1,youtuber tergg cok,andre Ega
794,0,erickkk,Sukma Ayu
795,0,haters gonna hate bang mangat terus lah jangan digubris,Hi nata
796,1,kalo lu haters ngapain tonton anjg emang ni haters kontol,NATHA FOUST
797,1,ngakak bangsat,Torajanese Youtube
798,0,mastah,Indah farhati
799,0,ini chanel lucu lucu gimana gituu,Husnul Hidayat Yaya
800,0,"nih heter sok an lah bangsat 
palingan ketemu erick minta foto juga an lo anjing gua mau jadi youtuber anjing",Daftar Gokil
801,0,"nih heter sok an lah bangsat 
palingan ketemu erick minta foto juga an lo anjing gua mau jadi youtuber anjing",Daftar Gokil
802,0,si pemakan jembut,Muhammad Andhika Kurniawan
803,1,malah yang toxic toxic itu ciri khas lu rick and bikin gua ngakak terus beda dari yang laindi youtuber anjing,AW gaming
804,0,di saat seseorang tumbang akan ada yang orang lain yang membullynya ingat itu bang,Ferdinand christian
805,0,"funfact 
ericko lim isinya banyak orang yg jadi hatersnya 
kimi hime isinya banyak orang yg jadi sangean v",AqsholGrey
806,0,sabar bro,BarbaCup 1999
807,1,soapers kontol,Muhammad Irvin
808,0,mantapppppp,RIANZED
809,0,btw lu kan udah tua rick kalo nanti nikah trus punya anak apa lu tetep toxic,Akmal Yazid
810,1,"si kontol banyak haters 
tapi tenang tod gue fans lhu",hendra pross
811,0,bang kn lu juga hater,WAKAWA MEGUMIN
812,1,setan lu,ZERO GAMING
813,1,fuck you,ZERO GAMING
814,0,yg ngehina si erick itu berarti sirik karena gaji emak bapaknya kecil dan ga mencukupi,uciha samsul
816,0,"konten lu gk ber faedah 
tapi lu berusaha menghibur kami semua",Albar turnama TM
817,0,mampir ke channel saya,AndiFadil
818,0,soapers,M Ihsan
819,0,like,tyas kyungsoo
820,0,jangan dengerin haters bang trus berkarya,Valiant Uways
821,1,katanya mau dibotakin tol,Fahbil .m
822,0,hiiii,MyChest MC
823,0,"hai numpang promo di chanel ini ya bang 
oke aku bakal adain give away kalu subscriber aku sudah hayoo buruan subs biar dapetin voucher google plays senilai ribu rupiah 
syarat nya subs chanel aku trus syarat selanjutnya bakal aku buatin dalam video",SNH Gaming
824,1,kontol lu kecil v,BAYHAQI CH
825,1,haters goblok asw,Winda Dia
826,1,hater goblok,Winda Dia
827,0,"dengan kegilaan lo yg seperti bangsat tpy itu sangat menghibur wkwkwkwk ngakak gua nontonya lanjut truss rik bs biar dapetin voucher google plays senilai ribu rupiah 
syarat nya subs chanel aku trus syarat selanjutnya bakal aku buatin dalam video",jean busira
828,0,haters emangnya bisa terkenal,Adam khalid
829,1,lu itu anak iblis anjing bangsat kontol omongan kok kaya bukan manusia,Yt Animation
830,0,bang nge react meme dong yang di kirim soapers,goblin cyclops
831,0,menghibur banget lol,Xiaomi Redmi
832,0,di saring semua aja bang buat ide vidio baru yang epick,Rizky Mhrdka
833,0,aku juga haters lu bang at ide vidio baru yang epick,Banana Channel
834,0,knp kalau ytbr lain toxic gaboleh tapi lu kagk,Daita Hamdani
835,0,kapan botak bang ericko lim,Raiden Satria
836,0,gaje lah in,Kazeo Alamsyah
837,0,udah dikasih hidup masih ngurusin hidup orang eh hidup lu kurang berguna eaaaa v emang kita hidup harus polling di ig dulu wakoskaoa,Taehyung Daughter
838,1,lu emang kontol gak cocok lu lahir,Agus Eka Dusak
839,0,woy kalo motivasi cepetan apus tu canel,Vuander Lrxander
840,0,rick kok video lo banyak yang persis tvfilthyfrank,cking kring
841,1,bacot anying,abib batubelubang
842,1,saya dukung erickontlim rsis tvfilthyfrank,ReiZen
843,0,ngakak,RAB official
844,0,bang lianteey mana,BILLAH SETYO Utomo
845,0,gue liat idung lu gede ancur,Guntur Varia
846,0,justru gara lu toxic gw ngakak bang teruskan toxic lu sampe jadi king of the toxic,Ghia Official
847,0,gua suka gaya lo bang,Herdii Adott
848,0,entah mengapa ada editannya hitzeed,zan ming
849,1,anak kontol tu wujudnya ky apa ya haha,Riptian Ekapoorma
850,1,hahaha tai lu ericko lim,Akhmad ramadhan rahman
851,0,wkwkwkw ngakak anjinggggggg lanjutin toxicnya kalo gak toxic bukan erickolim stay soaperrsss,Syukur Fransiskus Jaya Hulu
852,0,ngakak,Yudisthira Dharma
853,1,itu yg suka pke kata kotor pasti bocah pke poto fake lah udh bnyk yg ke cyduk pas di datengin eh bocah laknat,Mas Jomblo
854,1,komtol,Cacang Andika
855,0,fans yang t rtund,Muhammad Noor
856,0,jadikan hiburan semata,duone dunia
857,1,bacottt luh erick kont asti bocah pke poto fake lah udh bnyk yg ke cyduk pas di datengin eh bocah laknat,Panji ii
858,1,jokowi kontol,Leon geovano avnandio
859,1,part nya mana anjing ngetod tolol ngakak anjing guwa,Lutfi SBY
860,1,ah kontol dasar anak lonte,paranoid
861,1,bang subs makan torpedo ama jembut tompel,Realz Tygrz
862,0,gw tetep suport lu daripada channel donasi donasi sombong gak ngakuin youtubers indonesia,Keyboard Gagal
863,0,"rafli muhammad klo g suka report dislike aj 
emang kamu bilang gitu dia bakal berubah",Kiano Pratama
864,0,"kiano pratama apa maksud lo aduh maaf jangan sirik 
kalau mau ngomen ngomen jangan ngebales apaan",Rafli muhammad
865,0,klo ngehate ngapa nonton nak,Kiano Pratama
866,0,true story nak,Kiano Pratama
867,0,dan kebanyakan yg nonton tuh bocah,Helle R
868,0,channel pemersatu bangsa,Temmie
869,1,hahha anjir nih org,Maling Mangga
870,0,naufal razan santosa lol,Albar turnama TM
871,0,bocah gk phm maksud w omong tu,Albar turnama TM
872,1,albar turnama tm gelud lah haters miskin babi,Naufal Razan Santosa23
873,1,ya elu yg bacot ank lonte,M. NABIL
874,1,uhh goblog foto profil lu aja gambar erpan goblog matisana,alfa gaming
875,0,"nyimak sadja 

 v",Aditya Gobrets
876,0,selamat malam pak cik tu tak aku dah tak boleh ada yang bisa kita rasakan saat itu pula yang tidak dapat pernah bisa saya bantu aku tidak akan bisa menjadi melihat lokasi di jakarta indonesia di ajang singapura dan malaysia saling percaya aja ya kak buat buat yang apa saja yg tahu semua benda yang aku tahu rasakan di ketika itu enak banget buat tidur hari raya idul fitri mohon maaf lahir dan di akhirat nanti akan ada yang mau kurang ajar lebih banyak dari pada koment your hair right before and after the hair,SALMAN JOVI
877,1,anjing jujur gw ga suka sama channel elu tapi tiap lu upload gw tonton ape kelar,Bamm Bamm
878,1,gak usah nonton gak usah subscribe hak masing emang sih mw nonton apa kagak tp klo go public harus sadar dong klo semua orang bisa akses berapapun umurnya ama apapun gendernya teknologi kan konsekuensi jaman klo orang bermental seperti situ yang slalu jadiin ortu yang gak merhatiin anaknya sbg scapegoat tpsitu terus produksi barang dengan konten bermulut kebun binatang terus nyalahin orang krn itu kebebasan individu apa gak salah tu logicnya o iya kan lagi cari nyari duit jadi merusak mental orang dibawah umur buat nyari duit hal yang wajar emang mw itu orang tuanya tentara sekalipun klo konten kek gini gak dibenahin gak ada yang berubah klo kehidupan kota emang kejam menurut situ gak usah ditularin ama anak yang masi belajar gimana rasa saling menghormati dorongan konten macam gini kelakuan anak ntar yg sembah situ besar kemungkinannya ikutin situ indah bgt klo dibayangin jalan ke tempat umum terus bahasanya anak nya njing babik goblok indah banget sebagai yusoaper selamat ya udah ngubah kultur kita yang ramah n sopan prestasi banget tu,advent spectra
879,1,ignore them just keep toxic ribe hak masing emang sih mw nonton apa kagak tp klo go public harus sadar dong klo semua orang bisa akses berapapun umurnya ama apapun gendernya teknologi kan konsekuensi jaman klo orang bermental seperti situ yang slalu jadiin ortu yang gak merhatiin anaknya sbg scapegoat tpsitu terus produksi barang dengan konten bermulut kebun binatang terus nyalahin orang krn itu kebebasan individu apa gak salah tu logicnya o iya kan lagi cari nyari duit jadi merusak mental orang dibawah umur buat nyari duit hal yang wajar emang mw itu orang tuanya tentara sekalipun klo konten kek gini gak dibenahin gak ada yang berubah klo kehidupan kota emang kejam menurut situ gak usah ditularin ama anak yang masi belajar gimana rasa saling menghormati dorongan konten macam gini kelakuan anak ntar yg sembah situ besar kemungkinannya ikutin situ indah bgt klo dibayangin jalan ke tempat umum terus bahasanya anak nya njing babik goblok indah banget sebagai yusoaper selamat ya udah ngubah kultur kita yang ramah n sopan prestasi banget tu,ifdihansyahlbs
880,0,emg konten lu toxic bg tapi sumpah setiap kontenlu ngehibur bgt,ifdihansyahlbs
881,1,dear haters ngga suka gausah nonton anjing,fckbtch.
882,1,au ah gajelas tot,DIAZALWIN
883,0,kamu jahat tapi enak lim,Its INAIRDNA
884,0,youtuber inspirasi gua ni ekwkwk,Andi Muhammad Jayadi
